,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-20-05 242,0,0,0.08,0.08,0,,0,,0,,,0,0,0,0
02-20-05 248,0,0,0.12,0.16,0,0,0,0,0,0,0,0,0,0,0
02-20-05 252,0,0,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0
02-20-05 255,0,0,0.08,0.16,0,0,0,0,0,0,0,0,0,0,0
02-20-05 258,0,0,0.08,0.12,0,0,0,0,0,0,0,0,0,0,0
02-20-05 260,0,0,0.12,0.16,0,0,0,0,0,0,0,0,0,0,0
02-20-05 264,0,0,0.12,0.16,0,0,0,0,0,0,0,0,0,0,0
02-20-05 268,0,0,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0
02-20-05 271,0,0,0.12,0.16,0,0,0,0,0,0,0,0,0,0,0
02-20-05 274,0,0,0.08,0.12,0,0,0,0,0,0,0,0,0,0,0
02-20-05 276,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0
02-20-05 282,0,0,0.04,0.16,0,0,0,0,0,0,0,0,0,0,0
02-20-05 285,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0
02-20-05 288,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0
02-20-05 291,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0
02-20-05 294,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0
02-20-05 298,0,0,0.08,0.2,0,0,0,0,0,0,0,0,0,0,0
02-20-05 301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 343,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-20-05 356,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-20-05 359,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-20-05 363,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0
02-20-05 367,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-20-05 371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-20-05 414,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-20-05 462,0,0.6,0.12,0.24,-1.598892,1.598892,0.848099,0.848099,0.026093,0.026093,1.810085188,1.810085188,0,0,0
02-20-05 511,0,0,0,0,-1.598892,0,0.848099,0,0.026093,0,0,1.810085188,0,0,0
02-20-05 563,0,0,0,0.04,-1.598892,0,0.848099,0,0.026093,0,0,1.810085188,0,0,0
02-20-05 609,0,0,0,0,-1.598892,0,0.848099,0,0.026093,0,0,1.810085188,0,0,0
02-20-05 673,0,0,0,0,-0.622009,0.976883,0.857681,0.009582,-0.128036,0.154129,0.989013629,1.067194973,-0.298997,0.108215,-0.266252
02-20-05 721,0,0,0,0.04,-0.622009,0,0.857681,0,-0.128036,0,0,1.067194973,-0.298997,0.108215,-0.266252
02-20-05 765,0,0,0,0.04,-0.622009,0,0.857681,0,-0.128036,0,0,1.067194973,-0.298997,0.108215,-0.266252
02-20-05 824,0,0,0,0,-0.622009,0,0.857681,0,-0.128036,0,0,1.067194973,-0.298997,0.108215,-0.266252
02-20-05 878,0,0,0,0.04,-0.622009,0,0.857681,0,-0.128036,0,0,1.067194973,-0.298997,0.108215,-0.266252
02-20-05 922,0,0,0,0,-0.662857,0.040848,0.672318,0.185363,-0.240891,0.112855,0.220826293,0.974381532,-0.298997,0.108215,-0.266252
