,,,,,X,absX,xdiff,Y,absY,ydiff,Z,absZ,zdiff,adiff,,,
10-14-30 231,0,0,0,0.24,0,0,,0,0,,0,0,,,0,0,0
10-14-30 250,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-30 307,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-30 356,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-30 405,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-30 454,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-30 513,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-30 562,0,0,0,0.2,0.224655,0.224655,0.224655,-0.203323,0.203323,0.203323,-0.948135,0.948135,0.948135,0.995374346,0,0,0
10-14-30 610,0,0,0,0.16,0.224655,0.224655,0,-0.203323,0.203323,0,-0.948135,0.948135,0,0,0,0,0
10-14-30 659,0,0,0,0.2,0.224655,0.224655,0,-0.203323,0.203323,0,-0.948135,0.948135,0,0,0,0,0
10-14-30 718,0,0,0,0.2,0.224655,0.224655,0,-0.203323,0.203323,0,-0.948135,0.948135,0,0,0,0,0
10-14-30 767,0,0,0,0.24,0.282501,0.282501,0.057846,-0.209137,0.209137,0.005814,-0.933258,0.933258,0.014877,0.060010728,0,0,0
10-14-30 815,0,0,0,0.16,0.282501,0.282501,0,-0.209137,0.209137,0,-0.933258,0.933258,0,0,0,0,0
10-14-30 874,0,0,0,0.24,0.282501,0.282501,0,-0.209137,0.209137,0,-0.933258,0.933258,0,0,-0.028218,0.102592,-0.001521
10-14-30 923,0,0,0,0.2,0.282501,0.282501,0,-0.209137,0.209137,0,-0.933258,0.933258,0,0,-0.028218,0.102592,-0.001521
10-14-30 972,0,0,0,0.2,0.301331,0.301331,0.01883,-0.205963,0.205963,0.003174,-0.919449,0.919449,0.013809,0.023565476,-0.028218,0.102592,-0.001521
10-14-31 021,0,0,0,0.24,0.301331,0.301331,0,-0.205963,0.205963,0,-0.919449,0.919449,0,0,-0.028218,0.102592,-0.001521
10-14-31 079,0,0,0,0.24,0.301331,0.301331,0,-0.205963,0.205963,0,-0.919449,0.919449,0,0,-0.163229,0.174842,-0.035056
10-14-31 128,0,0,0,0.2,0.301331,0.301331,0,-0.205963,0.205963,0,-0.919449,0.919449,0,0,-0.163229,0.174842,-0.035056
10-14-31 177,0,0,0,0.28,0.385147,0.385147,0.083816,-0.308441,0.308441,0.102478,-1.041595,1.041595,0.122146,0.180129142,-0.163229,0.174842,-0.035056
10-14-31 225,0,0,0,0.16,0.385147,0.385147,0,-0.308441,0.308441,0,-1.041595,1.041595,0,0,-0.163229,0.174842,-0.035056
10-14-31 284,0,0,0,0.2,0.385147,0.385147,0,-0.308441,0.308441,0,-1.041595,1.041595,0,0,0.504249,0.209414,0.739013
10-14-31 335,0,0,0,0.24,0.385147,0.385147,0,-0.308441,0.308441,0,-1.041595,1.041595,0,0,0.504249,0.209414,0.739013
10-14-31 382,0,0,0,0.2,0.188263,0.188263,0.196884,-0.391769,0.391769,0.083328,-0.900101,0.900101,0.141494,0.256373589,0.504249,0.209414,0.739013
10-14-31 431,0,0,0,0.24,0.188263,0.188263,0,-0.391769,0.391769,0,-0.900101,0.900101,0,0,0.504249,0.209414,0.739013
10-14-31 489,0,0,0,0.2,0.188263,0.188263,0,-0.391769,0.391769,0,-0.900101,0.900101,0,0,0.754262,0.633351,0.46679
10-14-31 538,0,0,0,0.2,0.188263,0.188263,0,-0.391769,0.391769,0,-0.900101,0.900101,0,0,0.754262,0.633351,0.46679
10-14-31 587,0,0,0,0.24,0.278015,0.278015,0.089752,-0.454102,0.454102,0.062333,-0.815567,0.815567,0.084534,0.138155063,0.754262,0.633351,0.46679
10-14-31 646,0,0,0,0.28,0.278015,0.278015,0,-0.454102,0.454102,0,-0.815567,0.815567,0,0,0.70988,-0.230616,0.064769
10-14-31 695,0,0,0,0.24,0.278015,0.278015,0,-0.454102,0.454102,0,-0.815567,0.815567,0,0,0.70988,-0.230616,0.064769
10-14-31 743,0,0,0,0.28,0.278015,0.278015,0,-0.454102,0.454102,0,-0.815567,0.815567,0,0,0.70988,-0.230616,0.064769
10-14-31 792,0,0,0,0.32,0.155823,0.155823,0.122192,-0.606339,0.606339,0.152237,-0.508469,0.508469,0.307098,0.363890328,0.70988,-0.230616,0.064769
10-14-31 851,0,0,0,0.36,0.155823,0.155823,0,-0.606339,0.606339,0,-0.508469,0.508469,0,0,-0.521797,-0.387677,-0.055709
10-14-31 900,0,0,0,0.32,0.155823,0.155823,0,-0.606339,0.606339,0,-0.508469,0.508469,0,0,-0.521797,-0.387677,-0.055709
10-14-31 950,0,0,0,0.36,0.155823,0.155823,0,-0.606339,0.606339,0,-0.508469,0.508469,0,0,-0.521797,-0.387677,-0.055709
10-14-32 007,0,0,0,0.4,0.025497,0.025497,0.130326,-0.575073,0.575073,0.031266,-0.750931,0.750931,0.242462,0.277038356,-0.521797,-0.387677,-0.055709
10-14-32 063,0,0,0,0.44,0.025497,0.025497,0,-0.575073,0.575073,0,-0.750931,0.750931,0,0,-0.198023,-0.118654,0.173451
10-14-32 104,0,0,0,0.48,0.025497,0.025497,0,-0.575073,0.575073,0,-0.750931,0.750931,0,0,-0.198023,-0.118654,0.173451
10-14-32 154,0,0,0,0.4,0.025497,0.025497,0,-0.575073,0.575073,0,-0.750931,0.750931,0,0,-0.198023,-0.118654,0.173451
10-14-32 212,0,0,0,0.44,-0.005524,0.005524,0.031021,-0.581635,0.581635,0.006562,-0.84877,0.84877,0.097839,0.102848589,-0.198023,-0.118654,0.173451
10-14-32 284,0,0,0.04,0.4,-0.005524,0.005524,0,-0.581635,0.581635,0,-0.84877,0.84877,0,0,-0.198023,-0.118654,0.173451
10-14-32 310,0,0,0,0.44,-0.005524,0.005524,0,-0.581635,0.581635,0,-0.84877,0.84877,0,0,-0.070338,0.039198,0.089676
10-14-32 369,0,0,0,0.44,-0.005524,0.005524,0,-0.581635,0.581635,0,-0.84877,0.84877,0,0,-0.070338,0.039198,0.089676
10-14-32 419,0,0,0,0.44,-0.044586,0.044586,0.039062,-0.549347,0.549347,0.032288,-0.796219,0.796219,0.052551,0.073006591,-0.070338,0.039198,0.089676
10-14-32 467,0,0,0,0.44,-0.044586,0.044586,0,-0.549347,0.549347,0,-0.796219,0.796219,0,0,-0.065541,0.11604,-0.084343
