Time,s1,s2,s3,s4,x,xdiff,y,ydiff,z,zdiff,adiff,z1,z2,z3
10-16-03 945,0,0,0,0.12,0,,0,,0,,,0,0,0
10-16-03 950,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0
10-16-03 988,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0
10-16-04 037,0,0.04,0,0.16,0,0,0,0,0,0,0,0,0,0
10-16-04 096,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0
10-16-04 145,0,0,0,0.08,0.141129,0.141129,-0.473343,0.473343,-0.830017,0.830017,0.965867077,0,0,0
10-16-04 194,0,0,0,0.12,0.141129,0,-0.473343,0,-0.830017,0,0,0,0,0
10-16-04 242,0,0,0,0.08,0.141129,0,-0.473343,0,-0.830017,0,0,0,0,0
10-16-04 303,0,0,0,0.16,0.141129,0,-0.473343,0,-0.830017,0,0,0,0,0
10-16-04 351,0,0,0,0.12,0.165024,0.023895,-0.41951,0.053833,-0.866699,0.036682,0.069386829,-0.3188,0.213828,0.018439
10-16-04 400,0,0,0,0.12,0.165024,0,-0.41951,0,-0.866699,0,0,-0.3188,0.213828,0.018439
10-16-04 449,0,0,0,0.16,0.165024,0,-0.41951,0,-0.866699,0,0,-0.3188,0.213828,0.018439
10-16-04 506,0,0,0,0.12,0.174408,0.009384,-0.355652,0.063858,-0.726929,0.13977,0.153953098,-0.3188,0.213828,0.018439
10-16-04 556,0,0,0,0.16,0.174408,0,-0.355652,0,-0.726929,0,0,-1.36661,1.319326,-0.431412
10-16-04 604,0,0,0,0.16,0.174408,0,-0.355652,0,-0.726929,0,0,-1.36661,1.319326,-0.431412
10-16-04 664,0,0,0,0.16,0.174408,0,-0.355652,0,-0.726929,0,0,-1.36661,1.319326,-0.431412
10-16-04 712,0,0,0,0.2,0.42392,0.249512,-0.085114,0.270538,-0.89296,0.166031,0.403749106,-1.36661,1.319326,-0.431412
10-16-04 760,0,0,0,0.2,0.42392,0,-0.085114,0,-0.89296,0,0,-0.238735,0.568214,-0.333299
10-16-04 809,0,0,0,0.2,0.42392,0,-0.085114,0,-0.89296,0,0,-0.238735,0.568214,-0.333299
10-16-04 868,0,0,0,0.16,0.42392,0,-0.085114,0,-0.89296,0,0,-0.238735,0.568214,-0.333299
10-16-04 917,0,0,0,0.16,0.484573,0.060653,-0.105179,0.020065,-0.929977,0.037017,0.073835282,-0.238735,0.568214,-0.333299
10-16-04 966,0,0,0,0.08,0.484573,0,-0.105179,0,-0.929977,0,0,0.386503,-0.178973,0.109556
10-16-05 015,0,0,0,0,0.484573,0,-0.105179,0,-0.929977,0,0,0.386503,-0.178973,0.109556
10-16-05 073,0,0,0,0.04,0.484573,0,-0.105179,0,-0.929977,0,0,0.386503,-0.178973,0.109556
10-16-05 122,0,0,0,0,-0.038681,0.523254,-0.133316,0.028137,-0.655228,0.274749,0.591670054,0.386503,-0.178973,0.109556
10-16-05 171,0,0,0,0,-0.038681,0,-0.133316,0,-0.655228,0,0,-0.115482,1.994858,-1.467152
10-16-05 230,0,0,0,0,-0.038681,0,-0.133316,0,-0.655228,0,0,-0.115482,1.994858,-1.467152
10-16-05 278,0,0,0,0,-0.038681,0,-0.133316,0,-0.655228,0,0,-0.115482,1.994858,-1.467152
10-16-05 327,0,0,0,0,-0.038681,0,-0.133316,0,-0.655228,0,0,-0.115482,1.994858,-1.467152
10-16-05 376,0,0,0,0,0.541565,0.580246,0.141129,0.274445,-1.137817,0.482589,0.80305518,-0.163032,-0.332795,-0.477489
10-16-05 435,0,0,0,0,0.541565,0,0.141129,0,-1.137817,0,0,-0.163032,-0.332795,-0.477489
10-16-05 483,0,0,0,0,0.541565,0,0.141129,0,-1.137817,0,0,-0.163032,-0.332795,-0.477489
10-16-05 532,0,0,0,0,0.541565,0,0.141129,0,-1.137817,0,0,-0.163032,-0.332795,-0.477489
